#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
0.890	0.093	9.501	23.8	7.563	5.152	11.87	75.52	8.696	739.2
0.970	0.093	9.006	-28.9	10.94	-197.6	12.25	-360.6	7.561	-1498
1.050	0.093	7.608	1.323	9.757	-430.6	10.07	-578.1	12.41	-77.77
1.130	0.093	8.433	109.1	10.27	-258.1	5.633	781.1	17.73	-1740
1.210	0.093	9.149	61.77	9.67	-89.29	8.684	117.3	10.59	-2435
1.290	0.093	8.876	-281	7.209	-456.9	4.345	208.5	6.255	-231.8
1.370	0.093	9.226	-138.2	9.11	-390.6	8.568	-123.5	27.73	2748
1.450	0.093	8.538	331.5	10.86	147.5	10.28	-301.3	25.6	-3416
1.530	0.093	9.438	-343.3	6.765	-79.54	10.37	-662.8	6.258	-5797
1.610	0.093	11.23	-230.6	11.5	-277.7	20.14	-257.1	10.09	1107
1.690	0.093	13.8	34.28	12.57	-53.9	18.03	-82.84	18.24	-1635
1.770	0.093	13.76	-295.9	7.19	-167	7.809	-327.7	12.02	-824.4
1.850	0.093	9.478	-314	12.06	-332.2	17.54	-307.9	1.09	-1468
1.930	0.093	7.302	245.3	7.506	23.42	7.155	-242.7	5.317	-3752
2.010	0.093	8.784	-380.4	6.769	33.93	6.723	-208.9	50.37	855.8
2.090	0.093	11.31	-239.2	9.706	23.66	12.2	-364	5.452	-1301
2.170	0.093	7.647	81.3	11.74	-390	8.401	9.068	16.25	-2080
2.250	0.093	6.577	-12.12	6.407	-61.62	6.841	-390.7	13.19	-2886
2.340	0.093	9.113	-47.16	7.412	51.77	7.051	-2.14	9.23	-2383
2.425	0.093	9.36	-25.04	7.91	23.62	6.435	191	6.634	-1875
2.480	0.093	9.064	-17.03	7.825	13.36	6.073	242.9	5.727	-1772
0.007	0.120	6.384	-241.1	5.57	-121.4	5.748	-200.1	13.51	-938.8
0.050	0.120	6.5	-239	5.692	-127.1	5.847	-200.6	13.71	-848.3
0.109	0.120	6.78	-234.6	5.99	-141.8	6.089	-201.3	14.11	-663.7
0.186	0.120	7.219	-230.6	6.455	-169.4	6.484	-200	14.43	-546.3
0.280	0.120	7.657	-232.7	6.89	-217.2	6.925	-184.6	13.49	-1098
0.383	0.120	7.728	-173.8	6.86	-176.6	6.695	-87.45	10.57	-1661
0.463	0.120	8.205	5.183	7.728	65.75	6.696	-43.12	15.42	2956
0.543	0.120	8.496	12.43	8.047	88.8	8.007	-405.4	41.38	6076
0.623	0.120	8.337	-212.6	8.783	-254.7	9.253	-383.2	35.74	2103
0.703	0.120	9.274	-138.5	8.183	68.84	7.278	-10.93	5.126	-2721
0.783	0.120	8.857	-1.559	7.228	360.7	8.709	-534.6	1.693	-4019
0.863	0.120	8.306	-46.54	6.238	130.6	8.524	-134.1	8.765	1142
0.943	0.120	7.665	-1.032	8.303	-228.3	8.425	-210.2	8.028	-684.3
1.023	0.120	6.319	-65.54	7.428	-430.4	8.248	-770	6.514	-1289
1.103	0.120	6.266	-29.74	6.798	-90.39	6.253	46.15	5.446	-2487
1.183	0.120	7.366	27.45	7.039	-32.07	5.771	164.7	6.248	-2057
1.263	0.120	7.466	-259.5	5.776	-93.31	4.87	-225.5	4.398	-491.9
1.343	0.120	7.576	-137.2	7.373	-388.9	6.978	-134.7	13.4	1923
1.423	0.120	6.982	333.9	8.658	78.27	9.302	-285.3	36.44	197.1
1.503	0.120	7.175	-79	6.398	-16.59	7.231	-644.8	5.667	-4073
1.583	0.120	9.21	-272.5	9.95	-340.9	13.02	-473.8	3.47	-857.7
1.663	0.120	11.82	14.61	11.83	-126.5	15.97	-174.2	13.38	-2017
1.743	0.120	11.83	-180.9	6.49	-19.17	6.108	-192.4	32.5	-1202
1.823	0.120	8.195	-324.3	8.588	-320	11.44	-454.2	2.57	-431.7
1.903	0.120	5.548	219.4	7.696	-217.1	9.229	-402	5.062	-2586
1.983	0.120	6.867	-70.26	5.71	-99.21	5.356	-210.5	64.39	1148
2.063	0.120	10.25	-169.4	9.384	18.03	10.36	-214.6	7.55	-573.2
2.143	0.120	8.002	78.5	11.71	-293.9	9.194	-67.21	12.71	-1619
2.223	0.120	6.549	22.11	7.149	-132.9	7.636	-416.4	16.35	-2584
2.307	0.120	8.066	-45.83	6.76	32.09	7.038	-140.8	9.448	-2496
2.402	0.120	8.968	-29.64	7.538	27.07	6.384	146.3	6.528	-1947
2.467	0.120	8.889	-17.6	7.683	12.82	6.001	236.4	5.557	-1771
0.033	0.120	6.422	-240.4	5.611	-123.3	5.781	-200.2	13.58	-908.4
