24 # electrodes
# x y
0	0.17189
0.044488	0.16603
0.085945	0.14886
0.12154	0.12154
0.14886	0.085945
0.16603	0.044488
0.17189	1.05e-013
0.16603	-0.044488
0.14886	-0.085945
0.12154	-0.12154
0.085945	-0.14886
0.044488	-0.16603
2.11e-014	-0.17189
-0.044488	-0.16603
-0.085945	-0.14886
-0.12154	-0.12154
-0.14886	-0.085945
-0.16603	-0.044488
-0.17189	-3.16e-013
-0.16603	0.044488
-0.14886	0.085945
-0.12154	0.12154
-0.085945	0.14886
-0.044488	0.16603
286 # measurements
# a b m n r err ip
 24    1    6    7  0.106  0.039  -0.539
 24    1    7    8  0.083  0.042  -0.357
 24    1    8    9  0.061  0.046  -0.242
 24    1    9   10  0.038  0.056  -0.191
 24    1   10   11  0.021  0.077  0.063
 24    1   11   12  0.023  0.074  0.030
 24    1   12   13  0.031  0.062  0.098
 24    1   13   14  0.031  0.062  0.126
 24    1   14   15  0.036  0.058  -0.045
 24    1   15   16  0.027  0.067  -0.477
 24    1   16   17  0.055  0.048  -0.307
 24    1   17   18  0.121  0.038  -0.695
 24    1   18   19  0.074  0.044  -0.791
 24    1   19   20  0.073  0.044  -1.115
