47 # number of electrodes
# x y z
14.86	301.49	-1
  23	  25	  39	  41	11.6247	0.00453776	0.26004	0.00118
  24	  26	   8	  10	0.926364	0.000470773	0.12745	6e-05
  24	  26	  40	  42	93.5634	0.0357787	0.12745	0.00456
  25	  27	   9	  11	-0.744654	-0.000372193	0.24181	-9e-05
  25	  27	  41	  43	81.5928	0.0306439	0.24181	0.00741
  26	  28	  10	  12	2.66206	0.00131265	0.29711	0.00039
  26	  28	  42	  44	57.6	0.0213052	0.29711	0.00633
  27	  29	  11	  13	20.8868	0.0101868	0.1178	0.0012
  27	  29	  43	  45	49.0451	0.0179117	0.1178	0.00211
  28	  30	  12	  14	3.76332	0.00181919	0.19789	0.00036
  28	  30	  44	  46	65.4411	0.0236495	0.19789	0.00468
  29	  31	  13	  15	15.815	0.00759013	0.27931	0.00212
  29	  31	  45	  47	10.8929	0.00390247	0.27931	0.00109
  32	  34	   1	   2	-46522.3	-0.45	0.0004	-0.00018
  32	  34	  16	  18	39940.4	7.325	0.0004	0.00293
  33	  35	  17	  19	0.980485	0.000294695	0.1018	3e-05
  34	  36	   2	   4	82.854	0.0024855	0.07242	0.00018
  34	  36	  18	  20	5.93197	0.00220933	0.07242	0.00016
  35	  37	   3	   5	33.6028	0.00133067	0.09018	0.00012
  35	  37	  19	  21	5.49245	0.00221779	0.09018	0.0002
  36	  38	   4	   6	8.96816	0.000425035	0.09411	4e-05
  36	  38	  20	  22	4.39485	0.0018064	0.09411	0.00017
  37	  39	   5	   7	1.50055	7.97321e-05	0.12542	1e-05
  37	  39	  21	  23	35.0636	0.014272	0.12542	0.00179
  38	  40	   6	   8	8.76784	0.00049975	0.10005	5e-05
  38	  40	  22	  24	2.25442	0.00089955	0.10005	9e-05
  39	  41	   7	   9	18.914	0.00112241	0.14255	0.00016
  39	  41	  23	  25	16.8928	0.00659418	0.14255	0.00094
  40	  42	   8	  10	12.975	0.000785787	0.2927	0.00023
  40	  42	  24	  26	139.642	0.0533994	0.2927	0.01563
  41	  43	   9	  11	-9.71393	-0.000592541	0.2869	-0.00017
  41	  43	  25	  27	112.296	0.042175	0.2869	0.0121
  42	  44	  10	  12	10.3949	0.000633312	0.30001	0.00019
  42	  44	  26	  28	75.4268	0.0278991	0.30001	0.00837
  43	  45	  11	  13	90.1766	0.00545906	0.2015	0.0011
  43	  45	  27	  29	77.4566	0.0282878	0.2015	0.0057
  44	  46	  12	  14	82.5134	0.00494861	0.18389	0.00091
  44	  46	  28	  30	114.964	0.0415466	0.18389	0.00764
  45	  47	  13	  15	4.81577	0.000285694	0.14001	4e-05
  45	  47	  29	  31	47.847	0.0171416	0.14001	0.0024
   1	   3	  16	  19	-35.7208	-0.0277827	0.16773	-0.00466
   1	   3	  32	  35	2164.2	0.0681452	0.16773	0.01143
   2	   5	  18	  21	0.696348	0.000817429	0.28137	0.00023
   2	   5	  34	  37	4.14688	0.000319864	0.28137	9e-05
   3	   6	  19	  22	-2.04752	-0.00246267	0.19085	-0.00047
   3	   6	  35	  38	32.5018	0.00314383	0.19085	0.0006
   4	   7	  20	  23	2.4786	0.0029478	0.18658	0.00055
   4	   7	  36	  39	27.2879	0.00305499	0.18658	0.00057
   5	   8	  21	  24	0.00378622	4.4e-06	-100	-0.00044
   5	   8	  37	  40	0.0195528	2.4e-06	-100	-0.00024
   6	   9	  22	  25	-2.02834	-0.00229951	0.27832	-0.00064
   6	   9	  38	  41	-7.20207	-0.000934176	0.27832	-0.00026
   7	  10	  23	  26	-0.231335	-0.000256432	0.11699	-3e-05
   7	  10	  39	  42	-2.55727	-0.00034191	0.11699	-4e-05
   8	  11	  24	  27	0.0742805	8.0782e-05	0.24758	2e-05
   8	  11	  40	  43	-5.66161	-0.000767429	0.24758	-0.00019
   9	  12	  25	  28	2.36322	0.00252996	0.28459	0.00072
   9	  12	  41	  44	-12.4065	-0.00168664	0.28459	-0.00048
  10	  13	  26	  29	5.78608	0.00611556	0.18968	0.00116
