32# Number of electrodes
# x z #position for each electrode
1	-5
3	-5
5	-5
7	-5
9	-5
11	-5
13	-5
15	-5
17	-5
19	-5
21	-5
23	-5
25	-5
27	-5
29	-5
31	-5
33	-5
35	-5
37	-5
39	-5
41	-5
43	-5
45	-5
47	-5
49	-5
51	-5
53	-5
55	-5
57	-5
59	-5
61	-5
63	-5
202# Number of data
#a b m n R err
   1	   4	  16	  19	-0.00603173	0.035843
   4	   7	  19	  22	-0.00628727	0.0360744
   7	  10	  22	  25	-0.00613156	0.0360548
  10	  13	  25	  28	-0.00653891	0.0353191
  13	  16	  28	  31	-0.00637861	0.0354717
   1	   4	  17	  20	-0.00517482	0.0389789
   4	   7	  20	  23	-0.00532485	0.0390474
   7	  10	  23	  26	-0.00540467	0.0390245
  10	  13	  26	  29	-0.00594537	0.0381727
  13	  16	  29	  32	-0.0051867	0.0382776
   1	   4	  18	  21	-0.00428148	0.0423504
   4	   7	  21	  24	-0.00466515	0.042377
   7	  10	  24	  27	-0.00440113	0.0423504
  10	  13	  27	  30	-0.00441329	0.0413593
   1	   5	  20	  24	-0.00605923	0.0366911
   5	   9	  24	  28	-0.00633357	0.0366911
   9	  13	  28	  32	-0.00637305	0.0360882
   1	   5	  21	  25	-0.00560532	0.0392084
   5	   9	  25	  29	-0.00531214	0.0391973
   1	   5	  22	  26	-0.00490918	0.041969
   5	   9	  26	  30	-0.00449178	0.0419437
   1	   5	  23	  27	-0.0037995	0.0449713
   5	   9	  27	  31	-0.00397069	0.0449427
   1	   5	  24	  28	-0.00374451	0.0482394
   5	   9	  28	  32	-0.00335427	0.0482074
   1	   6	  26	  31	-0.00456272	0.0425055
   1	   6	  27	  32	-0.00387008	0.0451369
