C:\SAS4000\Projects\lrmnr002.s4k
1.0
7
1113    
0
0
   21.50     3.00   6.000000    12.513941
   22.50     3.00   6.000000    10.325494
   23.50     3.00   6.000000     9.793303
    0.50     4.00   4.000000    10.234861
    1.50     4.00   4.000000    12.833839
    2.50     4.00   4.000000    14.709652
    3.50     4.00   4.000000    15.732823
    4.50     4.00   4.000000    16.203354
    6.50     4.00   4.000000    14.132747
    7.50     4.00   4.000000    14.877023
    8.50     4.00   4.000000    15.454925
    9.50     4.00   4.000000    14.889859
   10.50     4.00   4.000000    14.627546
   11.50     4.00   4.000000    14.024381
   12.50     4.00   4.000000    13.143318
   13.50     4.00   4.000000    12.366154
   14.50     4.00   4.000000    14.081224
   15.50     4.00   4.000000    13.380161
   16.50     4.00   4.000000    12.372783
   17.50     4.00   4.000000    13.304372
   18.50     4.00   4.000000    13.137002
   19.50     4.00   4.000000    14.611757
   20.50     4.00   4.000000    14.728599
   21.50     4.00   4.000000    13.746483
   22.50     4.00   4.000000    13.345426
   23.50     4.00   4.000000    12.413834
   24.50     4.00   4.000000    10.534865
   25.50     4.00   4.000000     9.565380
   26.50     4.00   4.000000     8.959152
   27.50     4.00   4.000000     9.720117
    0.50     7.00   2.000000    11.456192
    0.50     5.00   3.000000     9.959331
    1.50     5.00   3.000000    12.026988
    1.50     7.00   2.000000    12.237069
    2.50     7.00   2.000000    12.820657
    2.50     5.00   3.000000    13.341477
    3.50     5.00   3.000000    14.779126
    3.50     7.00   2.000000    13.631376
    4.50     7.00   2.000000    15.259448
    4.50     5.00   3.000000    16.112563
    5.50     7.00   2.000000    16.136486
    5.50     5.00   3.000000    16.834942
    6.50     7.00   2.000000    16.602360
    6.50     5.00   3.000000    15.579663
    7.50     7.00   2.000000    15.766847
    7.50     5.00   3.000000    15.167553
    8.50     5.00   3.000000    15.264659
    8.50     7.00   2.000000    14.971879
    9.50     7.00   2.000000    14.839385
    9.50     5.00   3.000000    14.952951
   10.50     5.00   3.000000    14.660704
   10.50     7.00   2.000000    14.706890
   11.50     5.00   3.000000    14.195841
   11.50     7.00   2.000000    14.748811
   12.50     5.00   3.000000    13.438728
   12.50     7.00   2.000000    14.541571
   13.50     5.00   3.000000    13.400690
   13.50     7.00   2.000000    14.405622
   14.50     7.00   2.000000    13.178764
   14.50     5.00   3.000000    12.965533
   15.50     5.00   3.000000    13.270424
   15.50     7.00   2.000000    13.014631
   16.50     7.00   2.000000    13.911564
   16.50     5.00   3.000000    13.355688
